"uuid";"unique_person_id";"role";"sex"
"08b66439-8308-fe04-6ec7-0c123cffbb48";16;"[2, 3]";"m"
"e86b392e-b6ae-935e-8db8-a74a3420faa6";16;"[4]";"m"
"3cb2ee50-8421-aa65-a694-349f8782f856";16;"[4]";"m"
"baed614b-f2fc-cea0-6b86-1541cac76f81";16;"[4]";"m"
"ba62d3cd-b19b-c343-4a98-a8851211aee0";16;"[4]";"m"
"c5da1dd4-1cc5-97b2-da4e-86ff09c1262c";16;"[4]";"m"
"ad8e5b55-447e-85e2-1310-f52483d6370b";16;"[4]";"m"
"3ad27ddf-f9f1-834e-4a1c-2a0024f5ed44";16;"[4]";"m"
"de87d85e-d483-4da0-3bb6-cdeb8c5e1ed6";16;"[4]";"m"
"ed87a006-32d7-2aeb-c067-18ea08a14049";16;"[4]";"m"
"eb772d81-75ff-2be4-c79a-db83ec26ab69";16;"[5]";"m"
"541b3b59-887b-d86a-7983-46ec31a8ce55";16;"[5]";"m"
"b38d10bc-421d-18ce-4bf0-c753047f40a4";16;"[6]";"m"
"179ae733-815c-1856-1af6-5da25cccf14f";16;"[6]";"m"
"54e285eb-b53a-c736-1c60-2e5e63867443";16;"[6]";"m"
"226fda3c-0c6e-6f85-e631-c13668055bf4";16;"[6]";"m"
"c1081ca0-3f5e-b176-b404-ec0183dd5aba";16;"[1]";"m"
"ddde28e3-2b38-ccd5-d510-ac032a17e741";17;"[2, 3]";"v"
"afd6f3a0-890b-0a26-b601-e8ea13d5d2ae";17;"[2, 3]";"v"
"81fe7649-84e4-3ac5-6493-335697ad09ec";17;"[2, 3]";"v"
"da3c50d0-6cae-3c3e-a74c-ec867b32c1a7";17;"[2, 3]";"v"
"d013f38b-6cde-484e-f07a-5e8eff8f9fc8";17;"[4]";"v"
"29f1f076-6983-bd3e-5cfa-70fd191bb753";17;"[4]";"v"
"f7158148-6616-00f7-f8ef-c13bd57add73";17;"[4]";"v"
"82fcbdb9-36b3-4950-b928-08010e2d2ea4";17;"[4]";"v"
"c130d4d3-ee95-130a-54bd-213e089d1dc2";17;"[4]";"v"
"9b3e5388-7648-edbe-91d7-a374a28efcda";17;"[4]";"v"
"d4a8752f-caf3-4083-3882-094e1347fbc9";17;"[4]";"v"
"0ef646c6-ea0d-423e-c0e3-9f42930938a2";17;"[4]";"v"
"893c4762-c659-cfcf-f33d-7fb25365a67b";17;"[4]";"v"
"ca9ba6d9-dbf8-2249-2b93-8c07d56a3ffc";17;"[5]";"v"
"d15882a3-2a64-74d0-56b2-108d45da26dc";17;"[5]";"v"
"30ed9c6c-0398-b7c8-bf96-4c7ab49b6f82";17;"[6]";"v"
"d844248a-88c9-4a9f-6a80-db365f891158";17;"[6]";"v"
"0f032959-41a0-81db-b52f-e3e46b2a409b";17;"[6]";"v"
"44aaff8b-b51d-479d-9c0a-8314b9bfe699";17;"[6]";"v"
"4ecf1d32-1087-3800-d900-03039e09dc5c";17;"[1]";"v"
"160e5aa6-0d7e-e7b0-f65b-8043c8414021";18;"[2, 3]";"m"
"d2cb8434-d9e3-ff8d-fb1d-570eb54fe18e";18;"[4]";"m"
"a03e1cbf-ca9e-60a6-b6a1-4624303db7f7";18;"[4]";"m"
"a1cbc2d4-1585-01a3-33da-5dab1e35d2ec";18;"[4]";"m"
"7fbe7ce6-8808-2e2d-6bf4-88fd3005c0a8";18;"[4]";"m"
"7de2fe18-e20f-5988-26f0-f20325b52fa8";18;"[4]";"m"
"f7cbceec-024d-c8fb-2e63-193b96005194";18;"[4]";"m"
"ba610061-86fe-0483-a786-eb4537996b18";18;"[4]";"m"
"a1847b73-d791-a9f5-0e74-7f0c0c9c1208";18;"[4]";"m"
"30f900a1-adc6-0b10-7727-1f409468d8ec";18;"[5]";"m"
"f62a8f90-87ec-aac2-68a8-fa4c2b32485a";18;"[6]";"m"
"680deced-e247-cf5a-a3d3-fba19c839c10";18;"[6]";"m"
"d35d6345-6580-0b41-5a86-f6c5e305c395";18;"[6]";"m"
"cd7e4d1e-47eb-d754-610b-13a43040e888";18;"[1]";"m"
"686b5dbe-9359-6ce1-5de6-4988f8777373";19;"[2, 3]";"v"
"e1c90bb2-5091-20fa-1deb-7b3d73a40a35";19;"[4]";"v"
"5dfbbe5c-a041-dbbc-de6f-f586c2821692";19;"[4]";"v"
"cc212fed-aadd-1030-919f-b9011085840e";19;"[4]";"v"
"9dd43aac-d3a1-0f80-aac4-228d076736b4";19;"[4]";"v"
"ad8ebb72-21e6-387c-4d64-6b5ec05190d7";19;"[4]";"v"
"27f1cf7f-e277-7c16-8a44-5e42fed69b78";19;"[4]";"v"
"1e294bcd-5491-eb85-7037-cb1527d351f7";19;"[4]";"v"
"c1c470fc-e942-06ed-22a0-b1f37fbf44cc";19;"[4]";"v"
"25b24e45-7421-1663-c3b5-5c7a9d393e6d";19;"[5]";"v"
"3f8db29f-b7ad-8dbf-01d8-45b8d9785122";19;"[6]";"v"
"99bc3464-6c93-d49a-0989-1a729499daaf";19;"[6]";"v"
"763a5664-efdd-13c8-5d3c-05ec7c3dbad2";19;"[6]";"v"
"eabef5d1-6a6b-b430-2729-83d9821acb63";19;"[1]";"v"
"1165a30c-4307-206f-196b-895f8c007aa7";20;"[2, 3]";"m"
"62c8ede9-3ecd-8e1e-266d-f71dec6ec6e5";20;"[2, 3]";"m"
"7ed21590-eb32-b06d-aeb2-1aabea75de4f";20;"[4]";"m"
"690b70ca-69c0-52a4-26db-a8bb21258f39";20;"[4]";"m"
"6256184d-e071-04d9-46dc-58075cdbfa50";20;"[4]";"m"
"d0e568b0-0a6e-cbd0-dd06-2565664d948e";20;"[4]";"m"
"e03b361e-90df-118b-c139-123666969c3c";20;"[4]";"m"
"ecefb32f-e5e0-9392-3021-5b3a981eb8ef";20;"[4]";"m"
"a6c9659c-644c-187c-b20a-0d3f6b56238a";20;"[4]";"m"
"4363db2d-1edf-879e-e9b9-6d3e05f8879c";20;"[4]";"m"
"5ea1dbc2-1275-b2ac-2784-53d8d0e5d26a";20;"[4]";"m"
"7b6c4dde-12f8-9bce-eee2-4b063146e130";20;"[5]";"m"
"f7f333db-6103-938b-9e74-e1f4b456c7f4";20;"[5]";"m"
"e4c77b4d-ea66-7c46-38cc-b65916d2342f";20;"[6]";"m"
"854c9364-8fb0-06db-fc24-b0c008154fa1";20;"[6]";"m"
"06f7cf61-5a48-e0cb-3081-cc4b628bc631";20;"[6]";"m"
"64426f25-a239-efc1-d0fd-213605091a33";20;"[6]";"m"
"5f46cfa4-895e-9515-a93b-025d467fc8d5";20;"[6]";"m"
"2a29e968-6533-686d-017c-bacb65bb0e3d";20;"[6]";"m"
"f80d5f2b-7471-b5a2-87ee-f5843ef7b664";20;"[6]";"m"
"29852e2f-e123-e3b2-1065-c6420e0caa87";20;"[1]";"m"
"13181337-1961-5c73-94de-0599a73ae080";21;"[2, 3]";"v"
"da39f4c0-30b8-b808-ec0a-f4f1a736178d";21;"[2, 3]";"v"
"a472649a-cd62-2c08-8d46-683bf57c5d76";21;"[4]";"v"
"ff680716-a938-9b35-bafd-04752b542248";21;"[4]";"v"
"cb28862f-9aa6-f0c0-fa10-d52fbe033b79";21;"[4]";"v"
"8cb7e112-5f53-e42a-47c7-98be082ef0fd";21;"[4]";"v"
"8f29764d-d9f4-09a9-affe-745517da4402";21;"[4]";"v"
"d199d531-0503-550e-4ad4-97a4fdfafca4";21;"[4]";"v"
"207b9383-827b-5bec-17bd-bef107ae7768";21;"[4]";"v"
"6fb5d43c-5450-3f90-99d3-138a834c3ec5";21;"[4]";"v"
"994d7404-fc77-83a3-7fe8-6d85a37d22c0";21;"[4]";"v"
"3d95651e-4e54-055c-d6f2-7e2e2f0516fd";21;"[5]";"v"
"832fbc78-ec74-baf8-8d7d-af6eb8cca518";21;"[5]";"v"
"f9aafb8c-ffa0-2d4c-a93a-d136f7112d42";21;"[6]";"v"
"0513f6b4-c0be-0fde-1560-3b37244c4a5f";21;"[6]";"v"
"3a990d8f-ce34-78fe-8707-35d9689c910c";21;"[6]";"v"
"ed9b0410-eba1-f20d-c5a1-357fcfe3362c";21;"[6]";"v"
"af84411b-6701-9d01-ca85-8717b7f3f14e";21;"[6]";"v"
"87fab02a-0788-22a8-5135-c7387ccba8af";21;"[6]";"v"
"0d50f2f2-b32b-35d1-0e66-17c42116e1fb";21;"[6]";"v"
"0ca351ae-2ce5-c3ab-79f6-cabb0132f576";21;"[1]";"v"
"8b66e848-fd76-a881-9421-028f13c7664c";22;"[2, 3]";"m"
"5a67f84f-1418-6b53-aa11-b718c55a534d";22;"[2, 3]";"m"
"2ac85e63-709a-03f2-6deb-017b3463996e";22;"[2, 3]";"m"
"b7627970-b115-10c2-834f-35f68c58bb61";22;"[4]";"m"
"7d1f1223-009a-4f65-1887-221f7b984c11";22;"[4]";"m"
"f47fa9b3-fdd8-8531-ec48-2e5a1480971e";22;"[4]";"m"
"1eb1a6aa-7bd8-2b8d-2aff-bd0a6a01dc87";22;"[4]";"m"
"68832095-1a72-33c0-6476-1fbcc4f89c25";22;"[4]";"m"
"42bd2efc-27e6-531c-d583-2b4bf82cf4ce";22;"[6]";"m"
"f015fb34-b481-b1ec-2c1b-d7397d92c28c";22;"[6]";"m"
"0f11be34-d208-fcff-0b1f-832ddd3818c8";22;"[1]";"m"
"4254eb62-8210-f8b7-2dc7-1d35499b7215";23;"[2, 3]";"v"
"451b6ac6-9841-7648-cd47-cd3e08d3f9fb";23;"[2, 3]";"v"
"876acf3e-cd19-0a5b-8aa8-1298027240d4";23;"[2, 3]";"v"
"b9a91861-cc3f-4f95-25a0-ce1cae700dc9";23;"[4]";"v"
"08649d4c-da2e-897a-6de0-21b22354d099";23;"[4]";"v"
"6389156d-cd88-e321-4f57-db0ca23f8e5a";23;"[4]";"v"
"6b6b4f8a-3b13-e334-e16f-6be5ff1079ff";23;"[4]";"v"
"814d34dd-f729-39ea-55f3-f0f083da663f";23;"[4]";"v"
"8c8271e2-5359-a9c9-9697-ded59961b4d9";23;"[6]";"v"
"57d52ff6-2c37-72a1-e77c-e4d6683d00bc";23;"[6]";"v"
"5f6ab0d8-0fd1-1d74-e64f-2e55b2719b92";23;"[1]";"v"
"3901f1f4-c511-39d6-b0d3-78a47b96a953";24;"[2, 3]";"m"
"119a7bd9-6498-d64a-9109-7704aa2a891b";24;"[4]";"m"
"b9c71a2b-088a-9d70-8abf-1cc6fd10778e";24;"[4]";"m"
"752fdc43-6f86-66b3-11e8-f505961aac72";24;"[4]";"m"
"b9f4b640-ba9f-a530-ad1d-61f5e32b425e";24;"[5]";"m"
"b5087e97-a174-67c6-b5fa-2a1b01162ecc";24;"[6]";"m"
"d0a336d0-ef95-7e3a-240c-6a19ada850bb";24;"[6]";"m"
"c85c6c09-d5ee-260d-7676-8d50f5c310f1";24;"[1]";"m"
"b5070cc1-72b7-12af-276b-59498c0a70e5";25;"[2, 3]";"v"
"462fc5a1-c34f-1cfc-bfe2-3e46ef8b09af";25;"[4]";"v"
"3f7fdaac-5328-6cfe-78e0-6f1072084509";25;"[4]";"v"
"49b75996-7afd-1784-f6bd-8d6a53948d29";25;"[4]";"v"
"2df6cfb5-0743-f300-e0b3-76c289b4576e";25;"[5]";"v"
"ee0c5ef6-8c76-365f-1793-8d6a57a64cbe";25;"[6]";"v"
"9487423e-7a41-cebf-6b5f-435292969f4f";25;"[6]";"v"
"2ae89781-2615-f32c-978c-f1156ab594b3";25;"[1]";"v"
"60b855f9-87f1-2ed9-f681-fbe947995059";26;"[2, 3]";"m"
"b4662819-1e9e-5ce6-e88f-84af6b96f739";26;"[2, 3]";"m"
"75cda430-a2f1-38c4-954a-a590cf8f5e7d";26;"[2, 3]";"m"
"094c36f9-34ba-3e31-c38a-ea0eafdc224c";26;"[4]";"m"
"3b614e59-0575-0083-4713-138c14ab2119";26;"[4]";"m"
"61cb11fc-9f23-7363-75e7-31c5fd633c62";26;"[4]";"m"
"083e901c-fede-07c0-1121-1a2a8b92936f";26;"[4]";"m"
