parents_id;partners_id;groom;father;bride;mother;distance;length partners;length parents;years_between
4061;28900;173400;24370;173403;24371;0;30;30;22
76875;617;3702;461251;3705;461252;0;40;40;25
41892;48292;289752;251353;289755;251354;3;33;32;25
41892;11226;67356;251356;67359;251357;0;36;36;22
30792;64891;389346;184756;389349;184757;0;27;27;24
70767;19548;117288;424606;117291;424607;0;36;36;24
4090;93294;559764;24541;559767;24542;1;44;44;23
66405;58022;348132;398434;348135;398435;0;27;27;25
80122;17287;103722;480736;103725;480737;0;45;45;24
56546;90437;542622;339280;542625;339281;1;30;29;25
64028;24418;146508;384172;146511;384173;0;32;32;26
30400;56011;336066;182404;336069;182405;0;23;23;25
20988;19162;114972;125932;114975;125933;1;34;33;26
84676;69675;418050;508057;418053;508058;3;40;39;22
4284;71507;429042;25708;429045;25709;3;29;28;23
10861;25754;154524;65167;154527;65168;0;28;28;23
42838;25204;151224;257032;151227;257033;0;37;37;24
77589;82389;494334;465538;494337;465539;0;27;27;25
32406;33468;200808;194437;200811;194438;0;34;34;25
36605;39318;235908;219634;235911;219635;3;33;32;22
77625;87686;526116;465754;526119;465755;1;29;29;22
58839;532;3192;353038;3195;353039;0;34;34;24
55256;18030;108180;331537;108183;331538;0;37;37;20
90914;94747;568482;545488;568485;545489;2;36;37;23
19113;59338;356028;114682;356031;114683;0;33;33;23
17226;25625;153750;103357;153753;103358;0;39;39;23
7395;22320;133920;44371;133923;44372;0;28;28;24
38132;33932;203592;228796;203595;228797;3;27;24;23
17037;93436;560616;102226;560619;102227;0;28;28;25
70640;23453;140718;423844;140721;423845;2;34;35;23
78790;28889;173334;472744;173337;472745;0;29;29;25
84919;49659;297954;509518;297957;509519;1;59;58;17
4367;9674;58044;26206;58047;26207;0;29;29;22
47167;94888;569328;283006;569331;283007;0;33;33;21
84582;86503;519018;507493;519021;507494;0;37;37;20
77927;24491;146946;467566;146949;467567;1;36;36;23
94274;68435;410610;565645;410613;565646;0;23;23;22
23439;56911;341466;140635;341469;140636;3;31;30;23
35687;29790;178740;214126;178743;214127;2;37;38;23
43064;22586;135516;258388;135519;258389;0;34;34;24
99952;100829;604974;599716;604977;599717;1;38;38;23
99952;32288;193728;599713;193731;599714;1;33;33;22
49413;11641;69846;296479;69849;296480;0;39;39;24
49413;54753;328518;296482;328521;296483;0;35;35;22
19957;41368;248208;119746;248211;119747;0;39;39;24
26613;74121;444726;159682;444729;159683;3;35;37;25
30284;9618;57708;181708;57711;181709;1;30;30;22
30944;75189;451134;185668;451137;185669;3;34;33;25
68374;100239;601434;410248;601437;410249;1;31;32;23
95422;42842;257052;572536;257055;572537;2;34;33;22
27248;40785;244710;163489;244713;163490;1;41;41;22
38193;52162;312972;229159;312975;229160;2;38;38;24
79909;8704;52224;479455;52227;479456;1;32;32;25
73571;15898;95388;441430;95391;441431;0;52;52;22
57345;32416;194496;344071;194499;344072;2;33;33;25
55444;23921;143526;332668;143529;332669;0;37;37;20
79184;25356;152136;475105;152139;475106;2;30;31;26
29036;73184;439104;174217;439107;174218;3;40;37;25
63960;19422;116532;383764;116535;383765;3;28;27;23
88988;29602;177612;533929;177615;533930;3;37;38;22
