"";"complete";"only birth";"only death";"no birth/death";"incorrect";"alive"
1950;3738;32;28;11;8188;11997
1951;3557;0;30;0;7781;11368
1952;3394;0;28;0;7440;10862
1953;3241;0;27;0;7111;10379
1954;3063;0;23;0;6763;9849
1955;2922;0;23;0;6355;9300
1956;2759;0;24;0;6012;8795
1957;2602;0;26;0;5692;8320
1958;2412;0;19;0;5375;7806
1959;2227;0;19;0;5019;7265
1960;2052;0;19;0;4687;6758
1961;1883;0;18;0;4326;6227
1962;1732;0;20;0;4037;5789
1963;1561;0;17;0;3694;5272
1964;1356;0;16;0;3298;4670
1965;1200;0;16;0;2925;4141
1966;1009;0;14;0;2531;3554
1967;837;0;14;0;2160;3011
1968;662;0;10;0;1780;2452
1969;464;0;9;0;1394;1867
1970;355;0;4;0;876;1235
1971;179;0;4;0;430;613
1972;0;0;0;0;1;1
1973;0;0;0;0;1;1
1974;0;0;0;0;1;1
1975;0;0;0;0;1;1
1976;0;0;0;0;1;1
1977;0;0;0;0;1;1
1978;0;0;0;0;1;1
1979;0;0;0;0;1;1
1980;0;0;0;0;1;1
1981;0;0;0;0;1;1
1982;0;0;0;0;1;1
1983;0;0;0;0;1;1
1984;0;0;0;0;1;1
1985;0;0;0;0;1;1
1986;0;0;0;0;1;1
1987;0;0;0;0;1;1
1988;0;0;0;0;1;1
1989;0;0;0;0;1;1
1990;0;0;0;0;1;1
1991;0;0;0;0;1;1
1992;0;0;0;0;1;1
1993;0;0;0;0;1;1
1994;0;0;0;0;1;1
1995;0;0;0;0;1;1
