id_certificate_parents,id_certificate_partners,family_line,levenshtein_total_bride,levenshtein_max_bride,levenshtein_total_groom,levenshtein_max_groom,matched_names_bride,number_names_mother,number_names_bride,matched_names_groom,number_names_father,number_names_groom,year_diff
10010,78623,22,2,2,0,0,1,2,1,1,1,1,34
100100,37403,21,0,0,0,0,1,1,1,1,1,1,36
100102,17459,21,0,0,0,0,1,1,1,1,1,1,37
100102,93523,22,0,0,0,0,1,1,1,1,1,1,22
100103,3184,22,1,0,2,0,2,2,2,1,1,1,49
100105,54985,21,0,0,0,0,1,1,1,1,1,1,21
100106,77882,22,0,0,0,0,2,2,2,1,1,1,28
100107,64850,21,0,0,0,0,1,1,1,1,1,1,33
100107,63479,21,0,0,0,0,1,1,1,1,1,1,33
100107,8432,22,0,0,0,0,2,2,2,1,1,1,40
100107,62075,22,0,0,0,0,2,2,2,1,1,1,40
100108,44702,21,0,0,0,0,1,1,1,1,1,1,30
100109,39409,21,0,0,0,0,2,2,3,1,1,1,22
10011,3022,21,0,0,0,0,1,1,1,1,1,1,32
100110,18580,21,0,0,0,0,1,1,1,2,2,2,25
100111,1327,21,0,0,0,0,1,1,1,1,1,1,36
100115,47509,21,0,0,0,0,1,1,1,1,1,1,31
100117,43961,21,0,0,0,0,1,1,1,1,1,1,31
100117,29325,22,0,0,0,0,2,2,2,1,1,1,26
100118,59673,21,0,0,0,0,1,1,1,1,1,1,41
100118,77445,22,0,0,0,0,1,1,1,2,2,2,34
100119,6126,22,0,0,0,0,1,1,1,1,1,1,32
100120,92494,22,0,0,0,0,1,1,1,1,1,1,34
100121,1758,21,0,0,0,0,1,1,1,1,1,1,37
100122,26160,21,0,0,0,0,1,1,1,1,1,1,28
100122,37845,22,0,0,0,0,2,2,2,1,1,1,29
100123,71135,21,0,0,0,0,2,2,2,1,1,1,23
100123,6146,22,0,0,0,0,2,2,2,1,1,1,29
100124,84995,21,0,0,0,0,1,1,1,1,1,1,40
100128,11714,21,0,0,0,0,1,1,1,1,1,1,39
100128,40317,22,0,0,0,0,1,1,1,1,1,1,33
100129,87139,22,0,0,1,1,1,1,1,2,2,2,33
10013,54364,22,0,0,0,0,1,1,1,1,1,1,32
100130,2477,21,0,0,0,0,2,2,2,2,2,2,37
100130,31370,22,0,0,0,0,1,1,1,1,1,1,38
100131,95855,22,0,0,0,0,1,1,1,1,1,1,32
100132,14624,21,0,0,0,0,2,2,2,1,1,1,26
100132,47015,22,0,0,0,0,1,1,1,1,1,1,42
100133,31211,22,0,0,0,0,1,1,1,2,2,2,43
100134,17658,21,0,0,0,0,1,1,1,1,1,1,28
100134,52779,22,0,0,1,0,1,1,1,1,1,1,46
100136,32091,21,0,0,0,0,1,1,1,1,1,1,24
100136,42090,22,0,0,0,0,1,1,1,1,1,1,39
100139,41261,21,0,0,0,0,1,1,1,1,1,1,34
100139,1641,22,0,0,0,0,1,1,1,1,1,1,29
100142,4960,21,0,0,0,0,2,2,2,1,1,1,27
100145,73516,21,0,0,0,0,1,1,1,1,1,1,45
100145,82899,22,0,0,0,0,1,1,1,1,1,1,40
100147,43810,21,0,0,1,1,1,1,1,1,1,1,41
100149,96584,21,0,0,0,0,1,1,1,1,1,1,39
100149,76364,22,0,0,0,0,1,1,1,1,1,1,25
10015,81225,21,0,0,0,0,1,1,1,1,1,1,27
10015,95632,22,0,0,0,0,1,1,1,1,1,1,29
10015,26498,22,0,0,0,0,1,1,1,1,1,1,29
100153,50105,21,0,0,1,1,1,1,1,1,1,1,23
100153,17995,22,0,0,0,0,1,1,1,1,1,1,41
100155,57822,22,0,0,0,0,2,2,2,1,1,1,33
100156,95048,21,0,0,1,0,2,2,2,1,1,1,29
100156,39647,22,0,0,0,0,2,2,2,3,3,3,40
100157,35964,22,2,0,0,0,1,1,1,1,1,1,27
100160,6802,21,0,0,0,0,1,1,1,1,1,1,28
