"type";"man_id";"woman_id";"child_id";"exception"
3;18784;18785;18783.0;"'NoneType' object is not subscriptable"
3;18808;18809;18807.0;"'NoneType' object is not subscriptable"
2;18859;18860;18858.0;"'NoneType' object is not subscriptable"
3;19324;19325;19323.0;"'NoneType' object is not subscriptable"
2;20161;20162;20160.0;"'NoneType' object is not subscriptable"
2;20257;20258;20256.0;"'NoneType' object is not subscriptable"
3;20338;20339;20337.0;"'NoneType' object is not subscriptable"
2;21043;21044;21042.0;"'NoneType' object is not subscriptable"
3;21046;21047;21045.0;"'NoneType' object is not subscriptable"
2;21877;21878;21876.0;"'NoneType' object is not subscriptable"
3;21880;21881;21879.0;"'NoneType' object is not subscriptable"
3;21904;21905;21903.0;"'NoneType' object is not subscriptable"
3;22246;22247;22245.0;"'NoneType' object is not subscriptable"
2;22327;22328;22326.0;"'NoneType' object is not subscriptable"
3;22336;22337;22335.0;"'NoneType' object is not subscriptable"
2;22375;22376;22374.0;"'NoneType' object is not subscriptable"
2;22639;22640;22638.0;"'NoneType' object is not subscriptable"
3;22642;22643;22641.0;"'NoneType' object is not subscriptable"
3;23110;23111;23109.0;"'NoneType' object is not subscriptable"
3;23452;23453;23451.0;"'NoneType' object is not subscriptable"
3;23800;23801;23799.0;"'NoneType' object is not subscriptable"
2;24397;24398;24396.0;"'NoneType' object is not subscriptable"
3;24400;24401;24399.0;"'NoneType' object is not subscriptable"
3;24838;24839;24837.0;"'NoneType' object is not subscriptable"
3;24904;24905;24903.0;"'NoneType' object is not subscriptable"
2;24955;24956;24954.0;"'NoneType' object is not subscriptable"
3;25090;25091;25089.0;"'NoneType' object is not subscriptable"
3;25222;25223;25221.0;"'NoneType' object is not subscriptable"
2;25501;25502;25500.0;"'NoneType' object is not subscriptable"
3;25876;25877;25875.0;"'NoneType' object is not subscriptable"
2;26203;26204;26202.0;"'NoneType' object is not subscriptable"
3;26278;26279;26277.0;"'NoneType' object is not subscriptable"
3;26344;26345;26343.0;"'NoneType' object is not subscriptable"
2;26545;26546;26544.0;"'NoneType' object is not subscriptable"
2;26665;26666;26664.0;"'NoneType' object is not subscriptable"
3;26860;26861;26859.0;"'NoneType' object is not subscriptable"
3;26920;26921;26919.0;"'NoneType' object is not subscriptable"
3;26980;26981;26979.0;"'NoneType' object is not subscriptable"
2;27109;27110;27108.0;"'NoneType' object is not subscriptable"
3;27370;27371;27369.0;"'NoneType' object is not subscriptable"
2;27589;27590;27588.0;"'NoneType' object is not subscriptable"
3;27592;27593;27591.0;"'NoneType' object is not subscriptable"
3;27880;27881;27879.0;"'NoneType' object is not subscriptable"
2;28003;28004;28002.0;"'NoneType' object is not subscriptable"
3;28006;28007;28005.0;"'NoneType' object is not subscriptable"
2;28627;28628;28626.0;"'NoneType' object is not subscriptable"
2;29539;29540;29538.0;"'NoneType' object is not subscriptable"
3;29542;29543;29541.0;"'NoneType' object is not subscriptable"
3;30082;30083;30081.0;"'NoneType' object is not subscriptable"
3;30250;30251;30249.0;"'NoneType' object is not subscriptable"
2;30745;30746;30744.0;"'NoneType' object is not subscriptable"
2;31081;31082;31080.0;"'NoneType' object is not subscriptable"
2;31159;31160;31158.0;"'NoneType' object is not subscriptable"
3;31600;31601;31599.0;"'NoneType' object is not subscriptable"
3;31648;31649;31647.0;"'NoneType' object is not subscriptable"
2;31669;31670;31668.0;"'NoneType' object is not subscriptable"
3;31672;31673;31671.0;"'NoneType' object is not subscriptable"
2;32497;32498;32496.0;"'NoneType' object is not subscriptable"
2;32635;32636;32634.0;"'NoneType' object is not subscriptable"
3;32926;32927;32925.0;"'NoneType' object is not subscriptable"
3;33034;33035;33033.0;"'NoneType' object is not subscriptable"
3;33094;33095;33093.0;"string index out of range"
2;33601;33602;33600.0;"'NoneType' object is not subscriptable"
2;34555;34556;34554.0;"'NoneType' object is not subscriptable"
3;34558;34559;34557.0;"'NoneType' object is not subscriptable"
2;34717;34718;34716.0;"'NoneType' object is not subscriptable"
2;34885;34886;34884.0;"'NoneType' object is not subscriptable"
3;35518;35519;35517.0;"'NoneType' object is not subscriptable"
2;35563;35564;35562.0;"'NoneType' object is not subscriptable"
2;35587;35588;35586.0;"'NoneType' object is not subscriptable"
3;35596;35597;35595.0;"'NoneType' object is not subscriptable"
3;36820;36821;36819.0;"'NoneType' object is not subscriptable"
3;37288;37289;37287.0;"'NoneType' object is not subscriptable"
3;37402;37403;37401.0;"'NoneType' object is not subscriptable"
3;37408;37409;37407.0;"'NoneType' object is not subscriptable"
3;37510;37511;37509.0;"'NoneType' object is not subscriptable"
3;37606;37607;37605.0;"'NoneType' object is not subscriptable"
3;37942;37943;37941.0;"'NoneType' object is not subscriptable"
2;37945;37946;37944.0;"'NoneType' object is not subscriptable"
3;38086;38087;38085.0;"'NoneType' object is not subscriptable"
2;38623;38624;38622.0;"'NoneType' object is not subscriptable"
2;38791;38792;38790.0;"'NoneType' object is not subscriptable"
3;38896;38897;38895.0;"'NoneType' object is not subscriptable"
3;39208;39209;39207.0;"'NoneType' object is not subscriptable"
2;39229;39230;39228.0;"'NoneType' object is not subscriptable"
3;39454;39455;39453.0;"'NoneType' object is not subscriptable"
3;39550;39551;39549.0;"'NoneType' object is not subscriptable"
2;39637;39638;39636.0;"'NoneType' object is not subscriptable"
2;39991;39992;39990.0;"'NoneType' object is not subscriptable"
2;40063;40064;40062.0;"'NoneType' object is not subscriptable"
3;40066;40067;40065.0;"'NoneType' object is not subscriptable"
3;40582;40583;40581.0;"'NoneType' object is not subscriptable"
3;40744;40745;40743.0;"'NoneType' object is not subscriptable"
2;40819;40820;40818.0;"'NoneType' object is not subscriptable"
3;40822;40823;40821.0;"'NoneType' object is not subscriptable"
2;40945;40946;40944.0;"'NoneType' object is not subscriptable"
2;41071;41072;41070.0;"'NoneType' object is not subscriptable"
2;41155;41156;41154.0;"'NoneType' object is not subscriptable"
2;41191;41192;41190.0;"'NoneType' object is not subscriptable"
2;41203;41204;41202.0;"'NoneType' object is not subscriptable"
2;41329;41330;41328.0;"'NoneType' object is not subscriptable"
3;41488;41489;41487.0;"'NoneType' object is not subscriptable"
3;41746;41747;41745.0;"'NoneType' object is not subscriptable"
3;41902;41903;41901.0;"'NoneType' object is not subscriptable"
2;42391;42392;42390.0;"'NoneType' object is not subscriptable"
2;42481;42482;42480.0;"'NoneType' object is not subscriptable"
3;42544;42545;42543.0;"'NoneType' object is not subscriptable"
2;42679;42680;42678.0;"'NoneType' object is not subscriptable"
3;42784;42785;42783.0;"'NoneType' object is not subscriptable"
3;43024;43025;43023.0;"'NoneType' object is not subscriptable"
2;43069;43070;43068.0;"'NoneType' object is not subscriptable"
3;43072;43073;43071.0;"'NoneType' object is not subscriptable"
3;43150;43151;43149.0;"'NoneType' object is not subscriptable"
3;43312;43313;43311.0;"'NoneType' object is not subscriptable"
2;43459;43460;43458.0;"'NoneType' object is not subscriptable"
3;43504;43505;43503.0;"'NoneType' object is not subscriptable"
2;43735;43736;43734.0;"'NoneType' object is not subscriptable"
3;43870;43871;43869.0;"'NoneType' object is not subscriptable"
2;44149;44150;44148.0;"'NoneType' object is not subscriptable"
3;44152;44153;44151.0;"'NoneType' object is not subscriptable"
2;44233;44234;44232.0;"'NoneType' object is not subscriptable"
2;44287;44288;44286.0;"'NoneType' object is not subscriptable"
3;44434;44435;44433.0;"'NoneType' object is not subscriptable"
2;44677;44678;44676.0;"'NoneType' object is not subscriptable"
3;44680;44681;44679.0;"'NoneType' object is not subscriptable"
2;44941;44942;44940.0;"'NoneType' object is not subscriptable"
3;44944;44945;44943.0;"'NoneType' object is not subscriptable"
3;45250;45251;45249.0;"'NoneType' object is not subscriptable"
2;45355;45356;45354.0;"'NoneType' object is not subscriptable"
2;45427;45428;45426.0;"'NoneType' object is not subscriptable"
3;45568;45569;45567.0;"'NoneType' object is not subscriptable"
2;45841;45842;45840.0;"'NoneType' object is not subscriptable"
3;46420;46421;46419.0;"'NoneType' object is not subscriptable"
2;46429;46430;46428.0;"'NoneType' object is not subscriptable"
2;46513;46514;46512.0;"'NoneType' object is not subscriptable"
2;47293;47294;47292.0;"'NoneType' object is not subscriptable"
3;47296;47297;47295.0;"'NoneType' object is not subscriptable"
2;47515;47516;47514.0;"'NoneType' object is not subscriptable"
3;47584;47585;47583.0;"'NoneType' object is not subscriptable"
