"";"died"
0;93191
1;74886
2;19498
3;5961
4;2277
5;917
6;464
7;264
8;123
9;87
10;53
11;32
12;26
13;18
14;14
15;9
16;6
17;0
18;2
19;0
20;2
21;1
22;0
23;0
24;0
25;2
26;0
27;0
28;0
29;0
30;0
31;0
32;0
33;0
34;1
35;0
36;0
37;0
38;0
39;1
