"uuid";"unique_person_id";"role"
"cd064a2e-d999-c833-490b-28b71b98ec38";10;"[4]"
"e3a9ce03-f967-b2ba-9179-9f291f4d506e";10;"[1]"
"30bf755e-dbb3-421e-2363-3f3bee085cbd";10;"[2, 3]"
"603e449e-b475-9e9d-49f7-fc8d695eda67";10;"[2, 3]"
"e046ca7e-e3b5-0f6c-5ad5-a1c0db63b342";10;"[2, 3]"
"9648019a-9795-00d2-b658-d6803da8eda9";10;"[2, 3]"
"e5b0640c-d220-9577-bc2c-efe4c8e900da";11;"[2, 3]"
"ef016e4a-74a2-0968-8b3f-c6c7af09ff7a";11;"[4]"
"6f87103f-c653-1a96-6e84-3cbec13be97f";11;"[4]"
"26493ffe-066c-fa19-5b72-1288ae955fc2";11;"[4]"
"a53cbed4-a62f-0ace-7cca-99c5d6053479";11;"[4]"
"290c998e-2d02-925f-2644-5ad3c347fab3";11;"[4]"
"760c6c8c-f46e-0269-e8f6-747112f5e38a";11;"[4]"
"76ddf508-89d7-8694-c80c-cb43c44a6e7b";11;"[4]"
"46321c2b-663b-d373-caf0-02adb83bbaa8";11;"[4]"
"c87d2734-c36a-97c0-aadc-ee05269fb978";11;"[4]"
"a6b66045-0428-651f-86e1-a359c20b112e";11;"[4]"
"c7102246-f959-cadc-dac9-8b6e9d651349";11;"[4]"
"7d106492-6464-97af-1166-6534df047a62";11;"[4]"
"e092ea0e-f683-d194-cc42-ba3a85eb47e8";11;"[4]"
"fa728ae0-9aa9-2dd4-b762-d88981f2916c";11;"[4]"
"3ecffa2a-03f0-e523-3d8b-d6a15fd3f436";11;"[1]"
"2d8882f8-578b-8a73-cb35-f79806d65c01";11;"[2, 3]"
"60c7d2ac-c5a6-7f3c-6925-e5fda74a6a27";11;"[2, 3]"
"037659e6-84c2-7060-29b8-24ad57d1183f";11;"[2, 3]"
"2c4bdd97-9c86-cd06-f6ae-7ec7ce90ff98";11;"[2, 3]"
"544192ac-d598-e7af-9ead-e63c1deb7636";12;"[2, 3]"
"120a892e-b3af-9a2a-f047-f9b05345c1fa";12;"[4]"
"33930f76-8423-7c11-ae61-464dc468e015";12;"[4]"
"9185f8c6-d893-0310-18c9-35581159935d";12;"[4]"
"5316124d-f79a-f4c5-e9f8-3e5971db136e";12;"[4]"
"4bf4f358-4c95-a1ab-4c67-70f4dfdc12a1";12;"[1]"
"722afca3-58a3-ef0d-577a-91b5a29b75b9";13;"[2, 3]"
"d40f0438-e45d-7021-1f79-453735f4c989";13;"[4]"
"eaa29942-a888-846c-ba15-97c741c99378";13;"[4]"
"54189ca0-e089-13de-920b-5fae6e42ba94";13;"[4]"
"bac52b5e-a1ea-153b-9f50-89a676163798";13;"[4]"
"6bde3ed6-35e9-241d-3887-11563668169d";13;"[1]"
"b30c1a16-445d-f72a-f426-b038c687f8c6";14;"[2, 3]"
"e3e8ef9e-0142-03e2-7c72-126bb7a88c29";14;"[4]"
"61fc67f7-12ce-3e3c-cdb8-5819b78b9641";14;"[4]"
"95868f03-aba3-6119-d357-aadde87ad067";14;"[1]"
"d53ff094-62bf-4df4-d62a-b42a96814873";14;"[2, 3]"
"d6863c66-f205-803b-b2d8-59cf86e7fbf0";14;"[2, 3]"
"f6b8e2e9-613e-c9d6-3e00-eecc5542c5b3";15;"[2, 3]"
"ffaf1951-e5a8-962b-0f01-0ddbf193ccbe";15;"[4]"
"4abb0f4f-0dcd-00f1-e7a6-64aaa6555faa";15;"[4]"
"96da9a1b-55b0-7d59-f985-1d12df7dfdfc";15;"[1]"
"b1afc47e-8562-9062-5b27-f36ec499eeb1";15;"[2, 3]"
"621c4bac-05f4-b603-6c8d-00aec75a0327";15;"[2, 3]"
"27e45359-e513-42ed-44b0-1ce71ac93200";16;"[2, 3]"
"e86b392e-b6ae-935e-8db8-a74a3420faa6";16;"[4]"
"3cb2ee50-8421-aa65-a694-349f8782f856";16;"[4]"
"baed614b-f2fc-cea0-6b86-1541cac76f81";16;"[4]"
"ba62d3cd-b19b-c343-4a98-a8851211aee0";16;"[4]"
"c5da1dd4-1cc5-97b2-da4e-86ff09c1262c";16;"[4]"
"ad8e5b55-447e-85e2-1310-f52483d6370b";16;"[4]"
"3ad27ddf-f9f1-834e-4a1c-2a0024f5ed44";16;"[4]"
"de87d85e-d483-4da0-3bb6-cdeb8c5e1ed6";16;"[4]"
"ed87a006-32d7-2aeb-c067-18ea08a14049";16;"[4]"
"c1081ca0-3f5e-b176-b404-ec0183dd5aba";16;"[1]"
"d4c4a53a-760a-7cf7-1bca-dafc769ae9a2";16;"[2, 3]"
