"uuid";"unique_person_id";"role"
"19bf1f83-c764-ce4f-fd7b-251f5a9ae40f";19;"partner"
"bdbca3a2-53ae-7a83-a8ba-dd0e1c8ac868";19;"partner"
"8fa97e03-e438-1b77-3d66-9d97b52cc8b3";19;"partner"
"8f93a0d0-26e8-e03e-1a9d-e6b4b6da23fa";19;"partner"
"fc0476b7-b9f4-16da-2e10-17c14eeb6657";19;"partner"
"44f2f809-aa0b-3ba8-0bf3-eeabfa38026b";19;"partner"
"ab36a7aa-5e6a-4626-a446-4580b8ed0940";20;"parent"
"3fe5b559-9c33-a803-3fc2-47ed07862def";20;"partner"
"b2a5aecf-7c03-d9d9-7152-0ab0909d2de4";20;"partner"
"60381921-797a-6035-0abc-afc1820daa49";20;"partner"
"26f6f79a-79fc-8bc9-5977-ba91d5423979";20;"partner"
"f4191f10-e494-a137-c867-be932a14c818";20;"partner"
"194874de-1a5d-3db1-8fef-eb1983e29375";20;"partner"
"7a4694f6-f0f9-5e2e-0fe5-8c2c8660769c";21;"parent"
"5347effe-a36c-e95d-abb7-f866f2c9b02a";21;"partner"
"7ca8d426-3720-4437-2bf7-5305ad906207";21;"partner"
"1e35c03a-8f47-ec90-04f4-4a1ffd3fb629";21;"partner"
"0657d2ad-f1e8-578c-3dd3-b2e9bb7c3fd4";21;"partner"
"256f8f81-7b8c-88a3-172b-f5012a625bd5";21;"partner"
"8f1466ec-f1ba-91d8-64a9-d72cbfdbc46f";21;"partner"
"066671b1-c45f-20c5-1932-d40d327914b4";22;"parent"
"ca437bce-4dec-4942-33e4-ff9ac1df9361";22;"partner"
"82ea0ee9-53ab-8cbe-b3ec-cc413c8be85d";22;"partner"
"b928b2e6-193c-6b17-51a2-7bef7cb8b8d6";22;"partner"
"92aa8b26-078d-ba6f-3509-87b367d57a02";22;"partner"
"8a91f128-ccfc-6337-be5f-d05dffd6344c";22;"partner"
"48e29b31-a247-ddd8-5e87-31c632fbb49c";23;"parent"
"019b4755-aa29-c3e0-91bb-2a32d44177f8";23;"partner"
"8a39ce30-c964-54d5-eab3-63ead46e99e2";23;"partner"
"068e9adc-0822-1efb-9720-c09ef65780c4";23;"partner"
"379175e1-da98-b2f1-6477-c9cea571aabd";23;"partner"
"25c60d4d-034b-0de1-7f13-ffdd4069c77c";23;"partner"
"52b29e04-a273-605f-99de-a4458a409b84";24;"parent"
"bd36c739-b31f-eae8-0f36-27581bfa33f7";24;"partner"
"a4e7657e-66a2-44b4-b6dd-d2dd8c5739d3";24;"partner"
"f9369f81-51de-e5ac-41f4-cc4a591a76d9";24;"partner"
"bdbd6295-781d-f6ed-2692-90d4d4b9fa08";24;"partner"
"fcd90d5e-ae74-9ae6-316c-2fcc9c863ba8";24;"partner"
"69b20eb6-6c5e-ceaf-1469-e2e17f162879";24;"partner"
"db532a84-0bb5-b7f6-cbd8-ee9b432745f6";24;"partner"
"ab947ae3-fde3-fbd8-e679-0c1ae5f63f0b";25;"parent"
"c1ead861-61ae-a735-256c-86b7a35fcab1";25;"partner"
"950c1d75-d406-313a-8462-0fede3232793";25;"partner"
"f1ce73f4-9343-77ee-f024-82c29c3d39fd";25;"partner"
"8d859d1d-7bc1-e90d-ec56-3776712c18ac";25;"partner"
"824ca3d8-3a3d-9cf4-ae6b-4ccf4f014bee";25;"partner"
"48ea837c-29a0-8dc8-aa9d-5dcb172ace50";25;"partner"
