"";"child"
0;114967
1;15816
2;12235
3;9702
4;7894
5;7365
6;6301
7;5492
8;4957
9;3914
10;2966
11;2087
12;1461
13;854
14;583
15;377
16;199
17;137
18;95
19;86
20;63
21;48
22;48
23;30
24;28
25;16
26;18
27;11
28;18
29;8
30;9
31;11
32;4
33;5
34;2
35;1
36;3
37;5
38;5
39;2
40;2
41;0
42;0
43;1
44;2
45;1
46;0
47;2
48;0
49;1
50;0
51;0
52;1
53;0
54;0
55;0
56;0
57;0
58;0
59;0
60;0
61;0
62;0
63;0
64;0
65;0
66;1
