"";"born"
0;69596
1;81543
2;29896
3;9250
4;3705
5;1637
6;863
7;524
8;277
9;171
10;111
11;76
12;55
13;35
14;24
15;17
16;16
17;7
18;5
19;6
20;4
21;4
22;1
23;2
24;4
25;0
26;1
27;0
28;1
29;0
30;0
31;0
32;0
33;0
34;1
35;0
36;0
37;0
38;0
39;0
40;0
41;0
42;0
43;0
44;1
45;0
46;0
47;0
48;0
49;0
50;0
51;0
52;0
53;0
54;0
55;0
56;0
57;1
