"parent_uuid";"partner_uuid";"sex"
"1fbc7e17-15ed-6086-d1fb-d8cb2ef5077c";"9cd8fca9-0d9a-7ce1-1bd3-6223259f9f91";"m"
"1f7fd44c-9eb4-f4c6-268b-976f73aa0505";"c0e127cc-1bd6-13fe-d462-febd7ca5b0d2";"v"
"7a5d0131-6046-0162-be19-f0af96e17659";"4e8aed2d-e698-cc2d-023e-93f762affeb0";"m"
"0112849f-c96b-1d6c-2b30-a84de5d28f1f";"996fcf69-739d-4fb1-482d-0007aa119bcc";"v"
"b2662f4b-a02d-6938-bf14-3a3eae631338";"5c01cb7d-4c91-6a44-fd29-e47024a6bc42";"m"
"21cbac6d-c024-fe9c-1414-227efdc3e359";"8022a7d8-08c8-1c26-b1cc-754b9e63811f";"v"
"c40b7624-df1a-801f-b3ac-0a6bf5c9e109";"5c01cb7d-4c91-6a44-fd29-e47024a6bc42";"m"
"53e85ecb-d3b3-b61e-df04-171b0138a166";"8022a7d8-08c8-1c26-b1cc-754b9e63811f";"v"
"4cc2dc76-4f8d-a43e-6445-f85699186313";"5c01cb7d-4c91-6a44-fd29-e47024a6bc42";"m"
"0689b462-1c1d-4f4e-b27b-4c83c458964f";"8022a7d8-08c8-1c26-b1cc-754b9e63811f";"v"
"487309fc-26e2-2d14-ee25-149d7604af08";"5c01cb7d-4c91-6a44-fd29-e47024a6bc42";"m"
"50658761-a96f-36d8-9723-e4e97656c541";"8022a7d8-08c8-1c26-b1cc-754b9e63811f";"v"
"7de7f925-7f80-d1ab-a5af-5cfeb8a02d43";"13b00de1-13c4-c38b-c62d-5128e5704d21";"m"
"0ce04006-4ac1-9169-1758-0499172b6f83";"b0ff1d86-c657-4a59-40c7-01fc691d39c7";"v"
"8467b236-aa61-b8be-4c9d-841f101ed93a";"4e6a2c37-cb8c-b3b9-2511-90fe5a90eae0";"m"
"8d78cfe4-40df-e5ad-f352-3bbd2aab33e9";"12417662-9f5b-2993-7bb3-1f68cb89fca2";"v"
"d5a99abe-c992-cee4-c38e-0168316075ba";"4e6a2c37-cb8c-b3b9-2511-90fe5a90eae0";"m"
"8bdb0e2f-6c54-0b0a-0f04-2ac19958add9";"12417662-9f5b-2993-7bb3-1f68cb89fca2";"v"
"e4ab94ab-2240-ca2c-bba9-d019ae8ca1be";"4e6a2c37-cb8c-b3b9-2511-90fe5a90eae0";"m"
"c23cfbaa-08e9-7d1e-d02f-ec6ea0c9f96d";"12417662-9f5b-2993-7bb3-1f68cb89fca2";"v"
"a25f83f1-b79d-4e6a-daef-c4e81f90e5fd";"4e6a2c37-cb8c-b3b9-2511-90fe5a90eae0";"m"
"dfb62356-e72a-2ba4-55d2-e90bb48c7052";"12417662-9f5b-2993-7bb3-1f68cb89fca2";"v"
"15bdaa9b-f20e-6744-2e30-7be7ad0463ca";"4e6a2c37-cb8c-b3b9-2511-90fe5a90eae0";"m"
"7faea5c5-b394-48ee-4566-484f6b438ba3";"12417662-9f5b-2993-7bb3-1f68cb89fca2";"v"
"40518519-bc3d-03c9-6851-bca04bb779ed";"b5d6ddcb-a841-a183-6264-b24fe2fa69d2";"m"
"d0579cb1-7565-0326-5fa2-67f3bb9fb97b";"8e48c206-ada7-8b83-b64a-28f4f7bd34f4";"v"
"ccb91fe5-7184-498c-9880-ad90f3b98194";"fbbae389-6f29-3619-c7d9-2d3496cbb4e4";"m"
"6dc46417-4e43-f5b4-3348-48ff76516fee";"1b1c7bff-c4e3-91d0-1229-5fb21889fb97";"v"
"8b48993f-34bf-f956-8b62-cce1a4957272";"29adfc9e-e351-5867-fac7-679213a42200";"m"
"bb22e928-215b-6a8f-f8ac-36ee11cb12ba";"110e3735-6152-c93d-e491-9966484fbb75";"v"
"5b1188e8-7418-5d27-614a-5dc769cfa3d0";"61e14200-b95a-dff7-9006-630983c0c0aa";"m"
"13e86906-0721-fb9d-22ce-935ba4d8285d";"fc109e4e-e6e9-7df3-175d-8b5146385a57";"v"
"13555714-6db8-47be-32f1-6eaac9220438";"28a65b0a-f2f0-4e26-baa4-95f174680095";"m"
"b8bb77d0-d447-4d70-c584-49902a783e14";"234e977d-349b-b6c2-f23a-5b40f0ab4380";"v"
"2b0678ff-a5ce-ffb3-0a53-f0b6824ce009";"984399f5-8e5b-eb64-a801-7803e5632ffa";"m"
"a8c5fff4-d17b-3d4c-d0aa-7bd079aabc4a";"5ffd7537-d98c-3888-029e-f48b28b6dc59";"v"
"2ee9fdd6-a3d9-3aec-50ff-8508df998949";"f2f32a84-5499-1dd0-cc46-e8d0b14cbd3f";"m"
"fd083d97-a96c-c8df-cb40-bc9b18897ed7";"729e8230-4c63-79ee-e4f9-7165bffa3d58";"v"
"fbfda40d-67b6-6c49-6386-10ff8ef74306";"5e7ca5c5-a57f-f705-cc97-71fe7b37c16f";"m"
"d1a34d35-e4b5-3990-fb94-f8a89db5b5d7";"0d10012d-12e5-15e0-ae9c-b6df3fda41f2";"v"
"5364660b-26e4-7b99-dee0-e7737477ded6";"bfb05eff-2046-ab1a-1e2b-3f5cd33f067e";"m"
"ef4a1a68-ac7f-86dc-a5d5-df1c9e314350";"cc38982d-429d-2d1e-f908-d88924646763";"v"
"c6f742f0-a03e-fb7e-1ff3-65755b1f7ab3";"bfb05eff-2046-ab1a-1e2b-3f5cd33f067e";"m"
"0b81ab59-68ad-bbd7-5ce1-0fcbe947f32a";"cc38982d-429d-2d1e-f908-d88924646763";"v"
"95ee35ea-fa9e-71ca-1ff6-95a56d9a7fe3";"6fd3f513-1677-0cf1-5c5b-767e2d863852";"m"
"6fd6fb67-3bb2-84e0-f2f3-1391d371c910";"687ce88f-9a8c-b211-19b1-e841b7a105c1";"v"
"31dfc4b1-588d-5809-dc0f-86e7e3cef4df";"f718f00b-4a62-3a1e-bf75-77fba2c92137";"m"
"c877b683-143b-68a7-adc4-5f33b90e934f";"9e0cfca7-fb90-e24d-8822-a2b1f45bbe52";"v"
"b7e9792c-1840-dae6-da50-f242d3b70a77";"f718f00b-4a62-3a1e-bf75-77fba2c92137";"m"
"fcfa5792-a041-d0a0-562a-9f25512eb323";"9e0cfca7-fb90-e24d-8822-a2b1f45bbe52";"v"
"b11ac5a2-39f8-de4e-22ae-25b725a7dafa";"f718f00b-4a62-3a1e-bf75-77fba2c92137";"m"
"db0bc999-2d8f-0b19-6322-20eb14806202";"9e0cfca7-fb90-e24d-8822-a2b1f45bbe52";"v"
"f713b238-6622-fbde-6d03-43195abd025d";"f718f00b-4a62-3a1e-bf75-77fba2c92137";"m"
"448cf066-1d9f-2422-eda8-9bcebce1df8c";"9e0cfca7-fb90-e24d-8822-a2b1f45bbe52";"v"
"3b4fea10-fca6-ed22-7400-67ca2df4a669";"f718f00b-4a62-3a1e-bf75-77fba2c92137";"m"
"03cf25a5-9871-ffe5-1211-bcf350d01a74";"9e0cfca7-fb90-e24d-8822-a2b1f45bbe52";"v"
"c40fd58b-6ad2-960d-a950-3fe2d37eb140";"f718f00b-4a62-3a1e-bf75-77fba2c92137";"m"
"7d3d9a3a-90f6-b3a5-13c8-d4aa56ed80e0";"9e0cfca7-fb90-e24d-8822-a2b1f45bbe52";"v"
"2a78ac13-5c95-1f04-3ec7-d6ba11d54544";"f718f00b-4a62-3a1e-bf75-77fba2c92137";"m"
"efe7d4be-690b-c2cf-ce8d-e2f34b43276a";"9e0cfca7-fb90-e24d-8822-a2b1f45bbe52";"v"
"ffc80dc8-3f20-e22c-d3be-1dd05313e567";"b9afe595-3c2f-503b-e9c9-7e6150a30f71";"m"
"1d647087-4a7b-4518-845f-82e3a486450a";"2544c160-1a4d-74a8-dcab-30935d7de86a";"v"
"852ddc15-e093-16f3-b42a-4039a32102ff";"b9afe595-3c2f-503b-e9c9-7e6150a30f71";"m"
"f50c3ac7-09d5-8c9b-239b-b8108428fcec";"2544c160-1a4d-74a8-dcab-30935d7de86a";"v"
"7de63c0f-55d0-18f2-9457-ac01c43e0a73";"b9afe595-3c2f-503b-e9c9-7e6150a30f71";"m"
"e7969815-ccee-dde4-08a7-843ca2433bf6";"2544c160-1a4d-74a8-dcab-30935d7de86a";"v"
"574c771f-71ee-22b3-eb56-a4f5b6bbf224";"82413465-9851-bb6c-d9da-bc34a7e818c6";"m"
"810be8ad-e5c5-32c0-d289-824324c3f13d";"d7d01ed8-41bd-bfab-0ada-296a5f2961b7";"v"
"32cb92ca-5ff2-c10d-5639-80d57f9ef86f";"82413465-9851-bb6c-d9da-bc34a7e818c6";"m"
"c3f6f33f-9e2b-1366-0daf-68414c103d89";"d7d01ed8-41bd-bfab-0ada-296a5f2961b7";"v"
"c37484de-f6c9-a9af-d4bd-6cbcca692303";"08115098-830a-56e8-de9e-909806268f3c";"m"
"fb92147b-20d8-c5af-ba70-42ac6e07fd7d";"9cea1606-cffc-e417-b5a6-fece4fc46d87";"v"
"2582c181-6780-bf86-8720-6f3559dfd877";"08115098-830a-56e8-de9e-909806268f3c";"m"
"f5605217-7db1-2791-8c69-91a06962a442";"9cea1606-cffc-e417-b5a6-fece4fc46d87";"v"
"4b160c02-f4ab-93c3-1946-137ea6c8bf8a";"08115098-830a-56e8-de9e-909806268f3c";"m"
"2dea9152-7d32-1b65-7e3f-898b56c7e9ad";"9cea1606-cffc-e417-b5a6-fece4fc46d87";"v"
"de91deaa-6f47-c2c7-2f03-ce49eabae5fe";"08115098-830a-56e8-de9e-909806268f3c";"m"
"7e417f35-f611-08d5-382a-9c8d3e083b85";"9cea1606-cffc-e417-b5a6-fece4fc46d87";"v"
"9c621b91-f5b3-0268-64ed-94fadab08e62";"08115098-830a-56e8-de9e-909806268f3c";"m"
"9ced130c-75a2-a89b-2f18-508659d52543";"9cea1606-cffc-e417-b5a6-fece4fc46d87";"v"
