"parents_id";"partners_id";"groom";"father";"bride";"mother";"distance";"length partners";"length parents";"years_between"
"4366f180-e71f-6c46-051e-e2093b18f07c";"536548de-943c-93b1-8910-7a4346412d79";"674b789b-605b-bf5e-56d0-97b2a662a645";"72c35102-e685-6f21-4abf-ca3b60767aa6";"a8fffc57-14a1-7dc7-0d5a-ff2c03d22620";"85e3063d-3da6-3275-0783-032b6c12a58d";3;33;32;26
"0a9bbb4d-6613-b2d3-8b6a-e75f0f03dd3a";"a07393a2-5fcf-9a4f-301d-51c9f9263121";"07cbc4f8-eb06-e284-510f-228d2c319058";"80ada547-e184-9372-bd75-7c472dc5d5f5";"adfe97bd-581e-63f4-4a29-ab4794136fba";"84d65d17-1d60-48b3-68d2-30c63ffe47ff";3;38;38;20
"0a9bbb4d-6613-b2d3-8b6a-e75f0f03dd3a";"f29f8ed9-7393-184f-65d5-0b542771fd4d";"07cbc4f8-eb06-e284-510f-228d2c319058";"a7f57c4f-aa0b-01e7-c07d-3fab32356e01";"adfe97bd-581e-63f4-4a29-ab4794136fba";"501f413f-3b44-43aa-622c-b1631e878719";3;38;38;17
"febbd68f-43e2-fdfe-4568-9b8e5687fdc2";"80f1bb81-bcdd-9953-04ce-14258713e699";"26a5c062-d559-0be1-4c0b-aec9c4df46c3";"b14eb6c9-2689-b9b0-493a-e97ac95c6297";"b87d279c-1022-d41a-b4e6-183c8966ed11";"0e21c387-6780-0b82-55c2-19d29485e982";3;32;32;24
"b3b9a63c-33bc-a0fe-91ba-ce9b56c3dfe8";"719bf43d-5581-75ce-8e63-fc9fe7cc96fe";"eb8a6437-1b37-bd39-55ea-b8ddf44d25e0";"6a23278e-5256-883a-4a61-c14295970bf7";"4b86ae7d-d360-8b80-74a7-0163119b248c";"ee55278c-3fdb-5b10-9c1e-b42370c67e9d";2;32;33;31
"13fc03a6-71a1-ff27-f581-337ae3a83545";"e80f9120-3447-d486-3eb8-602c9dcacfd6";"c2aac5ea-185a-71a1-be97-73caf90fee14";"f599b024-abf3-e7b9-96c3-29b7a43b4106";"9e14306c-e942-6951-0ea2-f2ac73e4277c";"ea18b9dd-4c52-f8cb-ea7e-2b225959983f";3;38;37;24
"13fc03a6-71a1-ff27-f581-337ae3a83545";"e3f7e02d-e2a2-d634-f665-ecfc5ff8ef03";"c2aac5ea-185a-71a1-be97-73caf90fee14";"6b833c79-cbdc-3edf-b27b-a3cd485a2921";"9e14306c-e942-6951-0ea2-f2ac73e4277c";"01aa0f9a-e335-d3b5-4518-0b28cb8a7ecb";3;38;37;21
"7b163ae1-28dd-5de0-7308-ba9b09519a4d";"356f95b4-e17c-a73f-eae9-b03b396fd1d0";"0b46ffd0-94ec-2cc4-307b-9f2634813b83";"cd883108-5d25-d457-ce5b-e0d40daaeead";"4ceb1bab-1dbb-49d3-e685-8b93b2464c92";"58faf557-6780-5d32-fecf-7b8baf81bcc1";0;30;30;28
"7b163ae1-28dd-5de0-7308-ba9b09519a4d";"98958883-11f9-91d2-ffb6-c2fc6a608665";"0b46ffd0-94ec-2cc4-307b-9f2634813b83";"be245c02-d4ab-214f-4ba8-2fffce8e9730";"4ceb1bab-1dbb-49d3-e685-8b93b2464c92";"21be48c2-0078-e1e4-8057-a48aeffa1f02";0;30;30;24
"7b163ae1-28dd-5de0-7308-ba9b09519a4d";"a8ef5e37-dd54-63ee-5d19-e9259ed872dc";"0b46ffd0-94ec-2cc4-307b-9f2634813b83";"8942cf51-f3ab-1e68-6856-7324efa963f4";"4ceb1bab-1dbb-49d3-e685-8b93b2464c92";"6339d308-00fb-2a56-825b-bfcd8b27fe92";0;30;30;23
