"parents_id";"partners_id";"groom";"father";"bride";"mother";"distance";"length partners";"length parents";"years_between"
13401;9672;9672;13405;9675;13406;0;33;33;16
45099;99900;99900;45103;99903;45104;0;42;42;19
9171;2401;2401;9175;2404;9176;0;1;1;17
82419;94518;94518;82423;94521;82424;0;31;31;16
27585;2401;2401;27589;2404;27590;0;1;1;17
68493;2401;2401;68494;2404;68495;0;1;1;17
82422;94518;94518;82423;94521;82424;0;31;31;16
56490;2401;2401;56491;2404;56492;0;1;1;19
56490;2401;2401;56494;2404;56495;0;1;1;19
56490;5006;5006;56491;5009;56492;0;1;1;17
56490;5006;5006;56494;5009;56495;0;1;1;17
56490;66554;66554;56491;66557;56492;0;1;1;16
56490;66554;66554;56494;66557;56495;0;1;1;16
