"parents_id";"partners_id";"groom";"father";"bride";"mother";"distance";"length partners";"length parents";"years_between"
83595;42563;255378;501571;255381;501572;0;35;35;34
29037;401;2406;174226;2409;174227;0;36;36;30
29037;32538;195228;174223;195231;174224;1;38;38;26
45919;46397;278382;275518;278385;275519;0;40;40;37
45919;86628;519768;275515;519771;275516;1;38;39;36
65347;78374;470244;392086;470247;392087;1;58;58;39
96210;29508;177048;577264;177051;577265;1;30;31;39
31393;27638;165828;188362;165831;188363;0;33;33;29
56957;71602;429612;341743;429615;341744;0;22;22;28
56957;64767;388602;341746;388605;341747;0;28;28;25
10639;91389;548334;63835;548337;63836;2;28;30;35
25370;56356;338136;152221;338139;152222;0;36;36;35
40638;19899;119394;243832;119397;243833;1;31;32;32
59723;28162;168972;358339;168975;358340;0;31;31;29
59723;46040;276240;358342;276243;358343;0;42;42;25
61443;78689;472134;368662;472137;368663;0;29;29;23
62546;9298;55788;375280;55791;375281;0;38;38;28
62546;84795;508770;375277;508773;375278;0;38;38;28
17185;21315;127890;103111;127893;103112;0;37;37;33
40655;9560;57360;243934;57363;243935;1;34;33;39
59112;35231;211386;354676;211389;354677;1;39;40;22
23189;51214;307284;139138;307287;139139;0;42;42;32
4461;6965;41790;26770;41793;26771;0;27;27;35
4461;13917;83502;26767;83505;26768;0;37;37;26
43462;22102;132612;260776;132615;260777;1;42;43;34
72770;4382;26292;436621;26295;436622;2;40;40;31
73404;80751;484506;440425;484509;440426;0;31;31;33
73404;73305;439830;440428;439833;440429;0;27;27;29
82332;48996;293976;493993;293979;493994;3;38;41;30
97872;48023;288138;587236;288141;587237;1;30;29;26
100527;40628;243768;603163;243771;603164;2;31;29;39
100527;75092;450552;603166;450555;603167;0;38;38;31
24584;9297;55782;147508;55785;147509;0;41;41;31
87346;65705;394230;524077;394233;524078;0;29;29;37
30153;96102;576612;180922;576615;180923;0;29;29;37
54401;29527;177162;326410;177165;326411;0;25;25;36
54401;36317;217902;326407;217905;326408;0;26;26;33
5144;40162;240972;30868;240975;30869;0;31;31;35
5144;33289;199734;30865;199737;30866;0;30;30;34
81304;82665;495990;487825;495993;487826;0;48;48;25
748;39368;236208;4489;236211;4490;0;36;36;30
748;61913;371478;4492;371481;4493;0;29;29;28
82341;81533;489198;494050;489201;494051;3;29;28;37
98689;93191;559146;592135;559149;592136;0;36;36;37
98689;98128;588768;592138;588771;592139;1;48;47;27
28657;22576;135456;171946;135459;171947;1;46;45;40
32602;30585;183510;195613;183513;195614;3;41;40;31
32602;6446;38676;195616;38679;195617;1;37;36;31
54750;75257;451542;328501;451545;328502;2;36;34;36
96291;71949;431694;577747;431697;577748;0;33;33;29
96291;45916;275496;577750;275499;577751;0;50;50;26
30519;84920;509520;183118;509523;183119;1;38;38;30
33520;21761;130566;201124;130569;201125;0;31;31;27
63010;81713;490278;378061;490281;378062;0;37;37;27
26915;62361;374166;161491;374169;161492;0;37;37;28
62056;68473;410838;372340;410841;372341;0;36;36;38
89309;98274;589644;535858;589647;535859;0;31;31;34
2032;77683;466098;12193;466101;12194;0;42;42;33
14453;86050;516300;86719;516303;86720;0;34;34;26
16383;12283;73698;98299;73701;98300;0;38;38;34
16383;78232;469392;98302;469395;98303;2;40;42;32
21033;53392;320352;126199;320355;126200;0;28;28;37
33346;77683;466098;200080;466101;200081;0;42;42;33
33346;7047;42282;200077;42285;200078;0;55;55;28
60081;19356;116136;360490;116139;360491;1;38;37;38
8454;1402;8412;50728;8415;50729;0;33;33;31
54680;13818;82908;328081;82911;328082;2;29;31;25
57989;26969;161814;347938;161817;347939;3;30;29;37
57989;34591;207546;347935;207549;347936;0;36;36;31
15781;71773;430638;94687;430641;94688;1;33;32;30
26735;30356;182136;160414;182139;160415;1;32;33;29
40775;54039;324234;244651;324237;244652;0;28;28;35
40775;25864;155184;244654;155187;244655;0;39;39;28
64922;60503;363018;389533;363021;389534;1;27;28;38
73076;74868;449208;438460;449211;438461;0;35;35;38
77866;52185;313110;467197;313113;467198;0;34;34;33
13792;84317;505902;82756;505905;82757;1;33;33;31
13792;59631;357786;82753;357789;82754;0;36;36;29
1997;65377;392262;11986;392265;11987;0;31;31;34
2836;59819;358914;17020;358917;17021;1;41;41;29
6777;78256;469536;40666;469539;40667;0;38;38;33
6777;49649;297894;40663;297897;40664;0;33;33;29
