"parents_id";"partners_id";"groom";"father";"bride";"mother";"distance";"length partners";"length parents";"years_between"
13401;9672;9672;13405;9675;13406;0;33;33;16
45099;99900;99900;45103;99903;45104;0;42;42;19
9171;2401;2401;9175;2404;9176;0;1;1;17
82419;94518;94518;82423;94521;82424;0;31;31;16
27585;2401;2401;27589;2404;27590;0;1;1;17
68493;2401;2401;68494;2404;68495;0;1;1;17
82422;94518;94518;82423;94521;82424;0;31;31;16
56490;2401;2401;56491;2404;56492;0;1;1;19
56490;2401;2401;56494;2404;56495;0;1;1;19
56490;5006;5006;56491;5009;56492;0;1;1;17
56490;5006;5006;56494;5009;56495;0;1;1;17
56490;66554;66554;56491;66557;56492;0;1;1;16
56490;66554;66554;56494;66557;56495;0;1;1;16
13515;2401;2401;13519;2404;13520;0;1;1;20
13515;5006;5006;13519;5009;13520;0;1;1;18
13515;66554;66554;13519;66557;13520;0;1;1;17
81864;2401;2401;81865;2404;81866;0;1;1;20
81864;2401;2401;81868;2404;81869;0;1;1;20
81864;5006;5006;81865;5009;81866;0;1;1;18
81864;5006;5006;81868;5009;81869;0;1;1;18
81864;66554;66554;81865;66557;81866;0;1;1;17
81864;66554;66554;81868;66557;81869;0;1;1;17
100284;68076;68076;100285;68079;100286;0;34;34;20
93570;48444;48444;93574;48447;93575;0;35;35;21
54891;2401;2401;54895;2404;54896;0;1;1;22
54891;5006;5006;54895;5009;54896;0;1;1;20
54891;66554;66554;54895;66557;54896;0;1;1;19
3189;10128;10128;3190;10131;3191;0;58;58;21
17232;2401;2401;17233;2404;17234;0;1;1;23
17232;5006;5006;17233;5009;17234;0;1;1;21
17232;66554;66554;17233;66557;17234;0;1;1;20
11526;59382;59382;11530;59385;11531;1;32;31;23
27588;2401;2401;27589;2404;27590;0;1;1;24
27588;2401;2401;27592;2404;27593;0;1;1;24
27588;5006;5006;27589;5009;27590;0;1;1;22
27588;5006;5006;27592;5009;27593;0;1;1;22
27588;66554;66554;27589;66557;27590;0;1;1;21
27588;66554;66554;27592;66557;27593;0;1;1;21
31770;39361;39361;31771;39364;31772;3;31;31;26
29397;100548;100548;29401;100551;29402;0;37;37;22
74163;2401;2401;74167;2404;74168;0;1;1;25
74163;5006;5006;74167;5009;74168;0;1;1;23
74163;66554;66554;74167;66557;74168;0;1;1;22
74163;68750;68750;74167;68753;74168;0;1;1;16
91899;2401;2401;91900;2404;91901;0;1;1;25
91899;5006;5006;91900;5009;91901;0;1;1;23
91899;66554;66554;91900;66557;91901;0;1;1;22
91899;68750;68750;91900;68753;91901;0;1;1;16
74868;22122;22122;74872;22125;74873;2;49;50;22
97881;42918;42918;97882;42921;97883;0;50;50;26
5301;2401;2401;5305;2404;5306;0;1;1;26
5301;5006;5006;5305;5009;5306;0;1;1;24
5301;66554;66554;5305;66557;5306;0;1;1;23
5301;68750;68750;5305;68753;5306;0;1;1;17
5301;44150;44150;5305;44153;5306;0;1;1;16
25839;85200;85200;25840;85203;25841;0;40;40;16
54351;9426;9426;54355;9429;54356;0;29;29;29
88587;20514;20514;88588;20517;88589;0;40;40;18
2397;2401;2401;2401;2404;2402;0;1;1;27
2397;5006;5006;2401;5009;2402;0;1;1;25
2397;66554;66554;2401;66557;2402;0;1;1;24
2397;68750;68750;2401;68753;2402;0;1;1;18
2397;44150;44150;2401;44153;2402;0;1;1;17
15054;2401;2401;15055;2404;15056;0;1;1;28
15054;2401;2401;15058;2404;15059;0;1;1;28
15054;5006;5006;15055;5009;15056;0;1;1;26
